CODE,LABEL,YEAR,0-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and over,Total,Working Age Population (15-64 years),Males,Females,Persons,Births,Total Fertility Rate (per female),Deaths,"Standardised Death Rate (per 1,000 population)",Population density,Proportion of total population,"Born in Oceania, Antarctica (exc. Australia)",Born in North-West Europe,Born in Southern & Eastern Europe,"Born in North Africa, Middle East",Born in South-East Asia,Born in North-East Asia,"Born in Southern, Central Asia",Born in Americas,Born in Sub-Saharan Africa,Total Born Overseas,Buddhism ,Christianity ,Hinduism ,Islam,Judaism ,Other Religions ,"Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation",Inadequately described or not stated ,Australian citizen,Not an Australian citizen,Australian Citizenship - Not stated,Proportion of total population
10600,Bellingen (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1.7,7.9,0.4,0.1,0.4,0.3,0.1,0.8,0.6,12.2,-,-,-,-,-,-,-,-,92.2,4,3.8,3.1
10600,Bellingen (A),2012,19.1,10,7,11.6,15.9,16.1,11.5,6.3,2.5,"12,909",60.6,46.2,47.2,46.8,119,2.3,137,6.3,8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10600,Bellingen (A),2013,18.8,9.8,7.2,11.4,15.3,16.7,11.9,6.5,2.5,"12,920",60.3,46.7,47.6,47.2,127,2.4,129,6.3,8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10600,Bellingen (A),2014,18.4,9.6,7.5,11.2,14.7,17.1,12.2,6.6,2.6,"12,929",60.1,47.2,48,47.6,132,2.4,127,6.6,8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10600,Bellingen (A),2015,18.2,9.4,7.6,11.1,14.4,17.2,12.5,7,2.6,"12,936",59.7,47.5,48.3,48,108,2.4,110,6,8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10600,Bellingen (A),2016,17.9,9.1,8.1,10.7,14.3,17.4,13,7,2.6,"12,951",59.5,47.5,48.7,48.1,107,2.2,134,6,8.1,3.5,1.5,7.5,0.4,0.1,0.5,0.2,0.2,0.9,0.6,11.8,1.7,46.6,0.2,0.1,0.2,0.8,40.3,10.2,89.8,3.5,6.7,3.2
10600,Bellingen (A),2017,17.7,9.2,8.2,10.4,14.1,17.5,13.1,7.2,2.6,"12,946",59.4,47.4,48.8,48.2,-,-,130,5.9,8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10650,Berrigan (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1.2,4,0.4,0.1,0.3,0.1,0.3,0.1,0.4,7,-,-,-,-,-,-,-,-,92,2.9,5.1,2.2
10650,Berrigan (A),2012,17.4,10.1,8.3,10.3,12.7,15.4,14.6,8,3.1,"8,365",56.9,48.3,48.7,48.5,105,2.6,117,6.6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10650,Berrigan (A),2013,17.2,10.3,8.2,10.5,11.9,15.8,14.6,8.3,3.2,"8,436",56.7,48.6,48.7,48.6,93,2.5,114,7.2,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10650,Berrigan (A),2014,17.4,10,8.6,10.5,11.5,15.6,14.8,8.5,3.2,"8,519",56.1,48.5,48.5,48.5,93,2.6,112,7.1,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10650,Berrigan (A),2015,17.5,9.7,9.1,10.3,11.1,15.3,15.2,8.5,3.3,"8,568",55.4,48.1,48.4,48.2,82,2.3,104,6.8,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10650,Berrigan (A),2016,17.6,9.2,9.5,10,11,15,15.7,8.4,3.6,"8,609",54.8,47.9,48.7,48.3,79,2.2,100,6.5,4.2,2.3,1.2,3.8,0.4,0.1,0.8,0.2,0.5,0.4,0.4,7.7,0.2,64.6,0.3,0.2,-,0.4,23.2,11.2,87.6,3.3,9.1,3.1
10650,Berrigan (A),2017,17,9.4,9.4,10,11.3,14.4,16.1,8.7,3.6,"8,664",54.6,47.8,49,48.4,-,-,99,6,4.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10750,Blacktown (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7,5.8,3.5,3.8,3.6,8.2,1.8,8.3,1.1,1.5,37.6,-,-,-,-,-,-,-,-,83.6,11,5.4,36.9
10750,Blacktown (C),2012,23.2,14.4,15.9,14.9,12.7,9.7,5.6,2.7,0.9,"317,735",67.6,32.2,33.4,32.8,"5,462",2.3,"1,452",6.5,1323.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
